Metric,Original model,QAT model
Collision accuracy,0.7709637046307884,0.9136420525657072
Fire detection accuracy,0.7940436241610739,0.738255033557047
Steering angle MSE,0.18170204758644104,0.2646496891975403
Number of epochs,21.0,45.0
